"year","month","centroid_latitude","centroid_longitude","events_total","fatalities_total"
"1997","8","34.347","3.212","1","20"
"1997","8","34.897","1.591","1","11"
"1997","8","35.400","0.241","1","22"
"1997","8","35.788","1.833","1","32"
"1997","8","35.978","3.012","2","50"
"1997","8","36.161","2.086","2","53"
"1997","8","36.505","2.956","2","28"
"1997","8","36.530","2.170","1","64"
"1997","8","36.702","3.032","5","417"
"1997","9","-32.108","26.590","4","1"
"1997","9","-28.942","30.469","3","7"
"1997","9","-17.855","31.052","1","0"
"1997","9","-16.293","15.601","2","0"
"1997","9","-15.803","19.467","6","0"
"1997","9","-14.853","15.010","6","0"
"1997","9","-13.386","19.973","6","0"
"1997","9","-12.819","13.901","7","0"
"1997","9","-12.605","15.609","9","0"
"1997","9","-10.945","15.049","3","0"
"1997","9","-8.599","19.350","2","0"
"1997","9","-8.284","13.988","7","0"
"1997","9","-8.090","25.621","1","0"
"1997","9","-7.126","15.390","27","0"
"1997","9","-6.813","13.471","9","0"
"1997","9","-5.143","14.385","6","30"
"1997","9","-4.789","11.884","1","0"
"1997","9","-4.700","30.511","1","0"
"1997","9","-4.479","15.783","6","22"
"1997","9","-4.235","29.800","2","16"
"1997","9","-4.132","13.523","1","0"
"1997","9","-4.120","39.063","4","4"
"1997","9","-3.997","39.601","3","15"
"1997","9","-3.965","15.474","7","0"
"1997","9","-3.875","29.470","8","65"
"1997","9","-3.463","29.485","3","10"
"1997","9","-3.461","30.345","2","0"
"1997","9","-3.394","29.367","4","104"
"1997","9","-3.297","28.167","1","0"
"1997","9","-3.118","29.399","2","49"
"1997","9","-3.009","29.662","1","7"
"1997","9","-2.556","30.166","1","9"
"1997","9","-2.127","29.391","3","5"
"1997","9","-1.610","29.910","2","10"
"1997","9","-1.019","34.313","1","2"
"1997","9","-0.787","16.311","1","0"
"1997","9","-0.551","28.719","7","0"
"1997","9","-0.519","40.321","4","17"
"1997","9","-0.461","36.099","2","40"
"1997","9","-0.315","36.929","1","0"
"1997","9","-0.196","34.778","1","0"
"1997","9","0.137","30.009","1","13"
"1997","9","0.646","30.042","1","21"
"1997","9","1.586","10.242","1","0"
"1997","9","1.890","35.202","1","0"
"1997","9","2.088","45.393","1","0"
"1997","9","2.526","31.872","1","8"
"1997","9","2.977","35.359","2","21"
"1997","9","3.019","32.389","2","0"
"1997","9","3.417","33.319","5","20"
"1997","9","4.183","43.840","1","0"
"1997","9","4.376","18.553","2","0"
"1997","9","4.680","31.690","2","101"
"1997","9","4.825","5.959","2","0"
"1997","9","5.036","6.840","1","6"
"1997","9","5.415","-4.067","1","0"
"1997","9","5.760","6.327","1","0"
"1997","9","6.491","3.785","2","1"
"1997","9","6.517","1.204","2","0"
"1997","9","6.520","-10.040","1","0"
"1997","9","6.821","4.863","1","0"
"1997","9","7.247","44.728","2","4"
"1997","9","7.543","4.535","1","30"
"1997","9","7.710","-12.000","8","0"
"1997","9","8.205","-10.844","11","0"
"1997","9","8.335","-13.066","8","0"
"1997","9","8.964","38.776","1","1"
"1997","9","9.100","-12.678","12","0"
"1997","9","9.118","-11.486","21","0"
"1997","9","10.262","7.873","1","0"
"1997","9","11.048","32.698","2","17"
"1997","9","11.229","30.914","2","10"
"1997","9","12.152","15.020","1","0"
"1997","9","12.605","-7.990","1","0"
"1997","9","12.753","-16.400","9","111"
"1997","9","13.009","-14.347","1","5"
"1997","9","13.865","-13.324","1","5"
"1997","9","15.279","37.631","1","0"
"1997","9","19.420","10.687","1","5"
"1997","9","27.404","31.740","1","3"
"1997","9","28.213","30.912","2","3"
"1997","9","30.037","31.564","1","9"
